"count_","properties_complianceState","properties_policyDefinitionName"
2,"Unknown","203101f5-99a3-1491-1b56-acccd9b66a9e"
2,"Unknown","a28323fe-276d-3787-32d2-cef6395764c4"
2,"Unknown","3153d9c0-2584-14d3-362d-578b01358aeb"
2,"Unknown","1282809c-9001-176b-4a81-260a085f4872"
2,"Unknown","82bd024a-5c99-05d6-96ff-01f539676a1a"
2,"Unknown","9ac8621d-9acd-55bf-9f99-ee4212cc3d85"
2,"Unknown","8747b573-8294-86a0-8914-49e9b06a5ace"
2,"Unknown","4c385143-09fd-3a34-790c-a5fd9ec77ddc"
2,"Unknown","67ada943-8539-083d-35d0-7af648974125"
2,"Unknown","e714b481-8fac-64a2-14a9-6f079b2501a4"
2,"Unknown","ed87d27a-9abf-7c71-714c-61d881889da4"
2,"Unknown","2af4640d-11a6-a64b-5ceb-a468f4341c0c"
2,"Unknown","d9d48ffb-0d8c-0bd5-5f31-5a5826d19f10"
2,"Unknown","48c816c5-2190-61fc-8806-25d6f3df162f"
2,"Unknown","2cc9c165-46bd-9762-5739-d2aae5ba90a1"
2,"Unknown","7bdb79ea-16b8-453e-4ca4-ad5b16012414"
2,"Unknown","f33c3238-11d2-508c-877c-4262ec1132e1"
2,"Unknown","ba02d0a0-566a-25dc-73f1-101c726a19c5"
2,"Unknown","de770ba6-50dd-a316-2932-e0d972eaa734"
2,"Unknown","29acfac0-4bb4-121b-8283-8943198b1549"
2,"Unknown","e336d5f4-4d8f-0059-759c-ae10f63d1747"
2,"Unknown","1d39b5d9-0392-8954-8359-575ce1957d1a"
2,"Unknown","7d7a8356-5c34-9a95-3118-1424cfaf192a"
2,"Unknown","5e4e9685-3818-5934-0071-2620c4fa2ca5"
2,"Unknown","33832848-42ab-63f3-1a55-c0ad309d44cd"
2,"Unknown","b269a749-705e-8bff-055a-147744675cdf"
2,"Unknown","526ed90e-890f-69e7-0386-ba5c0f1f784f"
2,"Unknown","e54901fe-42c2-7f3b-3c5f-327aa5320a69"
2,"Unknown","7380631c-5bf5-0e3a-4509-0873becd8a63"
2,"Unknown","058e9719-1ff9-3653-4230-23f76b6492e0"
2,"Unknown","0065241c-72e9-3b2c-556f-75de66332a94"
2,"Unknown","4012c2b7-4e0e-a7ab-1688-4aab43f14420"
2,"Unknown","37dbe3dc-0e9c-24fa-36f2-11197cbfa207"
2,"Unknown","2f20840e-7925-221c-725d-757442753e7c"
2,"Unknown","eff6e4a5-3efe-94dd-2ed1-25d56a019a82"
2,"Unknown","1ff03f2a-974b-3272-34f2-f6cd51420b30"
2,"Unknown","6f1de470-79f3-1572-866e-db0771352fc8"
2,"Unknown","9ca3a3ea-3a1f-8ba0-31a8-6aed0fe1a7a4"
2,"Unknown","eb8a8df9-521f-3ccd-7e2c-3d1fcc812340"
2,"Unknown","04b3e7f6-4841-888d-4799-cda19a0084f6"
2,"Unknown","3545c827-26ee-282d-4629-23952a12008b"
2,"Unknown","4edaca8c-0912-1ac5-9eaa-6a1057740fae"
2,"Unknown","611ebc63-8600-50b6-a0e3-fef272457132"
2,"Unknown","2b4e134f-1e4c-2bff-573e-082d85479b6e"
2,"Unknown","423f6d9c-0c73-9cc6-64f4-b52242490368"
2,"Unknown","8c255136-994b-9616-79f5-ae87810e0dcf"
2,"Unknown","54a9c072-4a93-2a03-6a43-a060d30383d7"
2,"Unknown","ba78efc6-795c-64f4-7a02-91effbd34af9"
2,"Unknown","433de59e-7a53-a766-02c2-f80f8421469a"
2,"Unknown","50e81644-923d-33fc-6ebb-9733bc8d1a06"
2,"Unknown","98145a9b-428a-7e81-9d14-ebb154a24f93"
2,"Unknown","37b0045b-3887-367b-8b4d-b9a6fa911bb9"
2,"Unknown","37546841-8ea1-5be0-214d-8ac599588332"
2,"Unknown","3d492600-27ba-62cc-a1c3-66eb919f6a0d"
2,"Unknown","e9c60c37-65b0-2d72-6c3c-af66036203ae"
2,"Unknown","2927e340-60e4-43ad-6b5f-7a1468232cc2"
2,"Unknown","92a7591f-73b3-1173-a09c-a08882d84c70"
2,"Unknown","449ebb52-945b-36e5-3446-af6f33770f8f"
2,"Unknown","d8350d4c-9314-400b-288f-20ddfce04fbd"
2,"Unknown","0716f0f5-4955-2ccb-8d5e-c6be14d57c0f"
2,"Unknown","2067b904-9552-3259-0cdd-84468e284b7c"
2,"Unknown","b6ad009f-5c24-1dc0-a25e-74b60e4da45f"
2,"Unknown","8eea8c14-4d93-63a3-0c82-000343ee5204"
2,"Unknown","13939f8c-4cd5-a6db-9af4-9dfec35e3722"
2,"Unknown","cc057769-01d9-95ad-a36f-1e62a7f9540b"
2,"Unknown","81b6267b-97a7-9aa5-51ee-d2584a160424"
2,"Unknown","b273f1e3-79e7-13ee-5b5d-dca6c66c3d5d"
2,"Unknown","725164e5-3b21-1ec2-7e42-14f077862841"
2,"Unknown","eb598832-4bcc-658d-4381-3ecbe17b9866"
2,"Unknown","55a7f9a0-6397-7589-05ef-5ed59a8149e7"
2,"Unknown","874a6f2e-2098-53bc-3a16-20dcdc425a7e"
2,"Unknown","e603da3a-8af7-4f8a-94cb-1bcc0e0333d2"
2,"Unknown","01ae60e2-38bb-0a32-7b20-d3a091423409"
2,"Unknown","178c8b7e-1b6e-4289-44dd-2f1526b678a1"
2,"Unknown","b2ea1058-8998-3dd1-84f1-82132ad482fd"
2,"Unknown","3054c74b-9b45-2581-56cf-053a1a716c39"
2,"Unknown","0a412110-3874-9f22-187a-c7a81c8a6704"
2,"Unknown","8bfdbaa6-6824-3fec-9b06-7961bf7389a6"
2,"Unknown","e8c31e15-642d-600f-78ab-bad47a5787e6"
2,"Unknown","dad1887d-161b-7b61-2e4d-5124a7b5724e"
